,ID,IMG,IMG_TO_PXL_AR,CATEGORY,CODE
0,0,00ec8e2b-409b-4ffa-8a57-21cb91dc0cac.jpg,[[255 255 255 ... 255 255 255]],image,10
1,1,012639d1-b9ec-4c60-bbb2-d5e612c11f8b.jpg,[[255 255 255 ... 255 255 255]],image,10
2,2,0242beb7-a70b-481a-8eb3-b5b9f42482a5.jpg,[[255 255 255 ... 255 255 255]],image,10
3,3,02b9be7b-db73-4bc4-9752-4eccd7d49114.jpg,[[255 255 255 ... 255 255 255]],image,10
4,4,02bbd704-7d68-423e-8454-47d6640478e5.jpg,[[255 255 255 ... 255 255 255]],image,10
5,5,02c6fe9d-c081-4999-bb8b-7781a998b968.jpg,[[255 255 255 ... 255 255 255]],image,10
6,6,031ba922-39db-4262-92c8-06d69d5dfa00.jpg,[[255 255 255 ... 255 255 255]],image,10
7,7,03713e3f-5ab7-4021-9948-8b4343e85999.jpg,[[255 255 255 ... 255 255 255]],image,10
8,8,04085cbd-448f-4dc3-83c7-80ea8716e493.jpg,[[255 255 255 ... 255 255 255]],image,10
9,9,04251733-6422-431c-a1ea-b492cf7278cb.jpg,[[255 255 255 ... 255 255 255]],image,10
10,10,042a255b-ce3e-4063-b3eb-adc5198c2ac6.jpg,[[255 255 255 ... 255 255 255]],image,10
11,11,049bc7c0-b16f-4885-a569-60edd1379543.jpg,[[255 255 255 ... 255 255 255]],image,10
12,12,04d4b6b4-0d15-4a20-abe8-2fce28a88a79.jpg,[[255 255 255 ... 255 255 255]],image,10
13,13,04fab115-4a92-4cd4-8215-d70c64f5a9c1.jpg,[[255 255 255 ... 255 255 255]],image,10
14,14,05e11a2e-b689-4868-92fa-7d27866b122f.jpg,[[255 255 255 ... 255 255 255]],image,10
15,15,06056d6f-b892-4407-8b48-1fd40e5f43ad.jpg,[[255 255 255 ... 255 255 255]],image,10
16,16,060b73ab-db00-4baa-ae5b-7a25cb502380.jpg,[[255 255 255 ... 255 255 255]],image,10
17,17,06732adc-f195-482c-8005-baddbec76f30.jpg,[[255 255 255 ... 255 255 255]],image,10
18,18,067fb71f-fda3-4059-b6d0-13c741ed505b.jpg,[[255 255 255 ... 255 255 255]],image,10
19,19,068fd69a-3983-4d17-af89-d1f48a5bb7de.jpg,[[255 255 255 ... 255 255 255]],image,10
20,20,07adf392-e028-4a41-8001-982b36198cf0.jpg,[[255 255 255 ... 255 255 255]],image,10
21,21,07d3c891-6952-4aea-80f7-14d500dec21d.jpg,[[255 255 255 ... 255 255 255]],image,10
22,22,086058e8-301a-4317-8977-ef5c4a08e9d2.jpg,[[255 255 255 ... 255 255 255]],image,10
23,23,0884dc29-21d3-433e-8a4a-ba1dd2b389ce.jpg,[[255 255 255 ... 255 255 255]],image,10
24,24,095faaff-7cf1-46fb-bee7-8c38a0082dd0.jpg,[[255 255 255 ... 255 255 255]],image,10
25,25,0987926d-0869-4c21-8add-1f49efd0153d.jpg,[[255 255 255 ... 255 255 255]],image,10
26,26,09e1023e-b646-44e4-8bd6-52495deab981.jpg,[[255 255 255 ... 255 255 255]],image,10
27,27,09e85a9d-cbd3-44f7-8a59-5a727db856be.jpg,[[255 255 255 ... 255 255 255]],image,10
28,28,0a2c09ea-1bd3-480f-922e-90603b6436b6.jpg,[[255 255 255 ... 255 255 255]],image,10
29,29,0a818cac-7dc3-465a-86bd-ef8a8b2954eb.jpg,[[255 255 255 ... 255 255 255]],image,10
30,30,0adf3ae4-c502-4337-9058-5fc04a29a9fb.jpg,[[255 255 255 ... 255 255 255]],image,10
31,31,0afc4a72-59c2-4559-9b29-a7dc73ae1c61.jpg,[[255 255 255 ... 255 255 255]],image,10
32,32,0b382256-c483-4642-ae31-27d643f77bee.jpg,[[255 255 255 ... 255 255 255]],image,10
33,33,0b828ddd-0c9e-4d63-8838-784f570e00b2.jpg,[[255 255 255 ... 255 255 255]],image,10
34,34,0b8a570f-bec7-4750-96be-79fa62bac849.jpg,[[255 255 255 ... 255 255 255]],image,10
35,35,0c3b2ce7-fcb5-4873-9e74-cf3bfcfed978.jpg,[[255 255 255 ... 255 255 255]],image,10
36,36,0c489ad3-23d1-4e12-a27b-b9b26182e008.jpg,[[255 255 255 ... 255 255 255]],image,10
37,37,0ca89524-214c-4134-8261-55c7e3d785c3.jpg,[[255 255 255 ... 255 255 255]],image,10
38,38,0cb63732-07ca-4518-b96b-fd18c158406b.jpg,[[255 255 255 ... 255 255 255]],image,10
39,39,0d0a3daa-6675-4527-a5ec-0c39fc91bf04.jpg,[[255 255 255 ... 255 255 255]],image,10
40,40,0d7738f7-f7b4-4754-af27-e43f9c39064a.jpg,[[255 255 255 ... 255 255 255]],image,10
41,41,0ddf58c8-2439-464d-8cc0-d542639f9192.jpg,[[255 255 255 ... 255 255 255]],image,10
42,42,0e066267-f088-4705-ab16-6dfb8fe8dfc3.jpg,[[255 255 255 ... 255 255 255]],image,10
43,43,0e2c5d1c-864b-4bc0-a081-a4c5c4162565.jpg,[[255 255 255 ... 255 255 255]],image,10
44,44,0eaf5ef6-771c-4411-a776-8808704f34b5.jpg,[[255 255 255 ... 255 255 255]],image,10
45,45,0ec155d3-3762-4edd-92e5-ba1094bd4517.jpg,[[255 255 255 ... 255 255 255]],image,10
46,46,0f2cffba-1745-4d23-a405-7815ea504d20.jpg,[[255 255 255 ... 255 255 255]],image,10
47,47,0f33d09a-2018-4e0b-8e0b-ba4bc5214079.jpg,[[255 255 255 ... 255 255 255]],image,10
48,48,0f569ccf-5a6b-41c2-9d61-b66e2250d879.jpg,[[255 255 255 ... 255 255 255]],image,10
49,49,0f7739b7-5db0-46fb-8159-f1f507ab0aba.jpg,[[255 255 255 ... 255 255 255]],image,10
50,50,0fefe49b-f9c3-4b80-84d1-5611ab5202d6.jpg,[[255 255 255 ... 255 255 255]],image,10
51,51,102e6e46-ba02-4adf-8410-2b5db27fd0d6.jpg,[[255 255 255 ... 255 255 255]],image,10
52,52,104d3fee-938c-43b0-a5a0-f1c24c8d246e.jpg,[[255 255 255 ... 255 255 255]],image,10
53,53,10575f3e-e7e8-405b-bbb6-6623904cd9b9.jpg,[[255 255 255 ... 255 255 255]],image,10
54,54,105c19f5-aa9f-4588-9a2a-3e984c5dfd4e.jpg,[[255 255 255 ... 255 255 255]],image,10
55,55,10b2e746-b000-4e3c-9a80-8e4e377819e4.jpg,[[255 255 255 ... 255 255 255]],image,10
56,56,1102d868-a342-4c5f-b067-d5dfd5473d8d.jpg,[[255 255 255 ... 255 255 255]],image,10
57,57,1137b63b-c4c4-4e61-ba66-58d57d388995.jpg,[[255 255 255 ... 255 255 255]],image,10
58,58,11488054-0435-46d2-8f6f-dfab58d40b5b.jpg,[[255 255 255 ... 255 255 255]],image,10
59,59,11ab1edb-b7c2-4a8e-9c8a-5303f832c459.jpg,[[255 255 255 ... 255 255 255]],image,10
60,60,11cedbae-a923-482a-ae0a-d92b390846d4.jpg,[[255 255 255 ... 255 255 255]],image,10
61,61,11d76094-5814-48e4-a506-3f0f19ca0930.jpg,[[255 255 255 ... 255 255 255]],image,10
62,62,12366981-a2f4-41e3-9aab-d66a319acecf.jpg,[[255 255 255 ... 255 255 255]],image,10
63,63,128139f6-502f-4220-9c93-4f497f5bbe70.jpg,[[255 255 255 ... 255 255 255]],image,10
64,64,132f3813-1d11-42f9-8cfe-6e0cf936792f.jpg,[[255 255 255 ... 255 255 255]],image,10
65,65,1333642f-3037-4b6a-8d09-29b1c7f6ab90.jpg,[[255 255 255 ... 255 255 255]],image,10
