,ID,IMG,IMG_TO_PXL_AR,CATEGORY,CODE
0,0,00003140-523c-458e-8543-0daba5f35dbd.jpg,[[255 255 255 ... 255 255 255]],text_area,18
1,1,009ce99e-b9bd-4e80-ba58-9bb05b60d564.jpg,[[255 255 255 ... 255 255 255]],text_area,18
2,2,01af5d77-0f1a-4580-9d6a-952cf2c55532.jpg,[[255 255 255 ... 255 255 255]],text_area,18
3,3,025c0ff7-9511-410f-9c33-04ab08d138d3.jpg,[[255 255 255 ... 255 255 255]],text_area,18
4,4,02cbef03-c91d-43cd-8796-3682979e15e0.jpg,[[255 255 255 ... 255 255 255]],text_area,18
5,5,0618e5ce-34c9-4e3c-a712-37b8fb016731.jpg,[[255 255 255 ... 255 255 255]],text_area,18
6,6,06c064fd-8f4a-4a58-bf47-ee1c85133ba9.jpg,[[255 255 255 ... 255 255 255]],text_area,18
7,7,071a7dfe-c59e-4149-8001-8f62318e60fb.jpg,[[255 255 255 ... 255 255 255]],text_area,18
8,8,07b1aa6a-561e-4ec0-a0fb-d8aba80b9320.jpg,[[255 255 255 ... 255 255 255]],text_area,18
9,9,07f60756-e22f-4838-a11d-7a35eb49b4b2.jpg,[[255 255 255 ... 255 255 255]],text_area,18
10,10,07f816ec-6c80-4dbb-b1d2-543243572df2.jpg,[[255 255 255 ... 255 255 255]],text_area,18
11,11,0938f7ea-8ab2-44c6-9f94-32752273f890.jpg,[[255 255 255 ... 255 255 255]],text_area,18
12,12,09a7361a-f5f6-41fa-b83c-69246bbf7a8c.jpg,[[255 255 255 ... 255 255 255]],text_area,18
13,13,0a214f0d-1eb1-48fd-942a-2f2945915ba0.jpg,[[255 255 255 ... 255 255 255]],text_area,18
14,14,0ace6382-8f29-483b-8064-90326e90e558.jpg,[[255 255 255 ... 255 255 255]],text_area,18
15,15,0ad754dc-57be-4f61-858b-dbf405e4eb73.jpg,[[255 255 255 ... 255 255 255]],text_area,18
16,16,0af0da2c-4680-49cd-96b5-562dce65cc14.jpg,[[255 255 255 ... 255 255 255]],text_area,18
17,17,0b02b6d5-cb6c-42ba-8290-cc34a4502045.jpg,[[255 255 255 ... 255 255 255]],text_area,18
18,18,0b8fb678-959d-42e8-8bb7-0e0ec7344ec8.jpg,[[255 255 255 ... 255 255 255]],text_area,18
19,19,0b93b26d-0582-4049-8721-12b873c77cef.jpg,[[255 255 255 ... 255 255 255]],text_area,18
20,20,0bfab476-efaa-4214-ad29-c69237c68542.jpg,[[255 255 255 ... 255 255 255]],text_area,18
21,21,0bfb842c-00f4-4d08-8639-41a42ab20db5.jpg,[[255 255 255 ... 255 255 255]],text_area,18
22,22,0c6f1f44-a5e8-4317-bfdf-fe1f47e44a04.jpg,[[255 255 255 ... 255 255 255]],text_area,18
23,23,0c8624e9-acef-415b-a87a-0f28b1ac4c0a.jpg,[[255 255 255 ... 255 255 255]],text_area,18
24,24,0cea23f1-feb6-41fc-b114-9409a30bd1b6.jpg,[[255 255 255 ... 255 255 255]],text_area,18
25,25,0efabc69-8323-4f38-9974-f022a70f5dc8.jpg,[[255 255 255 ... 255 255 255]],text_area,18
26,26,0fa4a9df-b19e-43d8-b254-140d740a2a66.jpg,[[255 255 255 ... 255 255 255]],text_area,18
27,27,0fc4a3de-063a-4cc9-9bf3-be2fbeba0aac.jpg,[[255 255 255 ... 255 255 255]],text_area,18
28,28,103b0ac5-e220-4119-90c7-e476f6580e58.jpg,[[255 255 255 ... 255 255 255]],text_area,18
29,29,1132859a-8602-4f97-8a4c-1efa4830af82.jpg,[[255 255 255 ... 255 255 255]],text_area,18
30,30,116fbecf-e9fd-4272-8a4b-e045181cfed1.jpg,[[255 255 255 ... 255 255 255]],text_area,18
